"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.277094583E-1,-9.744358063E-2,1.201853943E1,-3.434161377E1,3.638407923E1
6.376724583E-1,-1.884717941E-1,1.205271912E1,-3.441131592E1,3.646151701E1
6.476344583E-1,-2.423124313E-1,1.204824829E1,-3.444165039E1,3.648898853E1
6.575964583E-1,-6.819725037E-3,1.202111816E1,-3.455413818E1,3.658545878E1
6.675594583E-1,-1.408472061E-1,1.210412598E1,-3.455297852E1,3.661199295E1
6.775214583E-1,-1.516914368E-1,1.209815979E1,-3.455151367E1,3.660868172E1
6.874834583E-1,-4.472732544E-4,1.217393494E1,-3.445892334E1,3.654616382E1
6.974454583E-1,-1.755580902E-1,1.206329346E1,-3.423504639E1,3.629865384E1
7.074084583E-1,-1.468887329E-1,1.206161499E1,-3.462658691E1,3.666748769E1
7.173704583E-1,-1.638908386E-1,1.201536560E1,-3.445574951E1,3.649102006E1
7.273324583E-1,-1.517000198E-1,1.205708313E1,-3.458581543E1,3.662751555E1
7.372954583E-1,-1.040973663E-1,1.214689636E1,-3.460980225E1,3.667964475E1
7.472574583E-1,1.059274673E-1,1.201364136E1,-3.475939941E1,3.677709405E1
7.572194583E-1,3.139495850E-2,1.201840210E1,-3.478131104E1,3.679921972E1
7.671824583E-1,-3.993320465E-2,1.205072021E1,-3.481097412E1,3.683782528E1
7.771444583E-1,-1.933660507E-1,1.202256775E1,-3.487231445E1,3.688709586E1
7.871064583E-1,2.827930450E-2,1.210630798E1,-3.500933838E1,3.704345106E1
7.970694583E-1,1.258850098E-4,1.198655701E1,-3.471820068E1,3.672915746E1
8.070314583E-1,-7.614135742E-3,1.204093933E1,-3.485913086E1,3.688012042E1
8.169934583E-1,7.936668396E-2,1.205506897E1,-3.487719727E1,3.690189529E1
8.269564583E-1,-2.538490295E-2,1.197775269E1,-3.501403809E1,3.700608148E1
8.369184583E-1,4.510879517E-4,1.201853943E1,-3.515679932E1,3.715435141E1
8.468804583E-1,7.711029053E-2,1.196235657E1,-3.487890625E1,3.687332399E1
8.568434583E-1,9.265136719E-2,1.203045654E1,-3.498529053E1,3.699609469E1
8.668054583E-1,3.400974274E-1,1.186410522E1,-3.462390137E1,3.660173773E1
8.767674583E-1,1.233558655E-1,1.196260071E1,-3.495288086E1,3.694350975E1
8.867304583E-1,-3.489398956E-2,1.203881836E1,-3.481646729E1,3.683911996E1
8.966924583E-1,-6.522941589E-2,1.205160522E1,-3.487329102E1,3.689704419E1
9.066544583E-1,-1.852989197E-2,1.200939941E1,-3.513262939E1,3.712852900E1
9.166174583E-1,1.089754105E-1,1.195875549E1,-3.462921143E1,3.663612961E1
9.265794583E-1,1.637668610E-1,1.212226868E1,-3.473883057E1,3.679351256E1
9.365414583E-1,2.839279175E-2,1.207600403E1,-3.481359863E1,3.684857296E1
9.465044583E-1,-1.210966110E-1,1.208087158E1,-3.496392822E1,3.699241002E1
9.564664583E-1,-3.451347351E-3,1.206320190E1,-3.527117920E1,3.727702958E1
9.664284583E-1,-1.800918579E-2,1.203067017E1,-3.494433594E1,3.695732624E1
9.763914583E-1,-1.219139099E-1,1.198876953E1,-3.492132568E1,3.692214031E1
9.863534583E-1,-9.012699127E-2,1.208361816E1,-3.481018066E1,3.684793927E1
9.963154583E-1,-5.395412445E-2,1.217665100E1,-3.494482422E1,3.700560066E1
1.006278458E0,-1.520109177E-1,1.215017700E1,-3.489410400E1,3.694926796E1
1.016240458E0,-3.215980530E-2,1.202232361E1,-3.459918213E1,3.662841388E1
1.026202458E0,7.520771027E-2,1.219108582E1,-3.468994141E1,3.676982818E1
1.036165458E0,1.467132568E-2,1.213763428E1,-3.465155029E1,3.671583199E1
1.046127458E0,-7.530212402E-2,1.221080017E1,-3.471209717E1,3.679726893E1
1.056089458E0,-8.739471436E-2,1.220399475E1,-3.477557373E1,3.685492713E1
1.066052458E0,-1.833610535E-1,1.212022400E1,-3.497448730E1,3.701551314E1
1.076014458E0,-2.720651627E-1,1.225740051E1,-3.495623779E1,3.704397991E1
1.085976458E0,-2.491931915E-1,1.209588623E1,-3.491149902E1,3.694841438E1
1.095938458E0,-2.059841156E-1,1.216398621E1,-3.484582520E1,3.690848850E1
1.105901458E0,-2.336502075E-1,1.226876831E1,-3.463940430E1,3.674868159E1
1.115863458E0,-1.979255676E-1,1.214933777E1,-3.489215088E1,3.694736494E1
1.125825458E0,-9.404468536E-2,1.226608276E1,-3.493249512E1,3.702357149E1
1.135788458E0,-2.819147110E-1,1.204435730E1,-3.459582520E1,3.663355210E1
1.145750458E0,-3.328514099E-1,1.204914856E1,-3.472357178E1,3.675621319E1
1.155712458E0,-1.871404648E-1,1.202963257E1,-3.491143799E1,3.692635351E1
1.165675458E0,-1.614561081E-1,1.214825439E1,-3.483129883E1,3.688936881E1
1.175637458E0,-1.148481369E-1,1.224351501E1,-3.477984619E1,3.687213787E1
1.185599458E0,-1.339273453E-1,1.208705139E1,-3.468450928E1,3.673050410E1
1.195562458E0,-1.317377090E-1,1.216362000E1,-3.482818604E1,3.689137499E1
1.205524458E0,-1.767768860E-1,1.211973572E1,-3.484246826E1,3.689060637E1
1.215486458E0,-9.361076355E-2,1.218698120E1,-3.474279785E1,3.681838232E1
1.225449458E0,-2.860879898E-1,1.220855713E1,-3.483361816E1,3.691221570E1
1.235411458E0,-1.898460388E-1,1.213810730E1,-3.457904053E1,3.664805226E1
1.245373458E0,-2.603492737E-1,1.225810242E1,-3.453369141E1,3.664566412E1
1.255336458E0,-1.192407608E-1,1.199554443E1,-3.460650635E1,3.662673322E1
1.265298458E0,-1.696939468E-1,1.201359558E1,-3.474169922E1,3.676058949E1
1.275260458E0,-1.561851501E-1,1.205101013E1,-3.464666748E1,3.668300433E1
1.285223458E0,-1.810598373E-1,1.202168274E1,-3.474108887E1,3.676271065E1
1.295185458E0,-3.137502670E-1,1.205274963E1,-3.470440674E1,3.673912166E1
1.305147458E0,-1.807889938E-1,1.194154358E1,-3.471929932E1,3.671597599E1
1.315110458E0,-2.477951050E-1,1.199258423E1,-3.469567871E1,3.671067420E1
1.325072458E0,-6.156826019E-2,1.203810120E1,-3.481774902E1,3.684013190E1
1.335034458E0,-6.835365295E-2,1.201258850E1,-3.488470459E1,3.689511579E1
1.344997458E0,-1.064710617E-1,1.199638367E1,-3.507806396E1,3.707283546E1
1.354959458E0,-1.057157516E-1,1.190745544E1,-3.498962402E1,3.696041748E1
1.364921458E0,-1.178903580E-1,1.199212646E1,-3.495996094E1,3.695976006E1
1.374884458E0,-2.471952438E-1,1.203614807E1,-3.495098877E1,3.696622217E1
1.384845708E0,-1.710376740E-1,1.203704834E1,-3.474548340E1,3.677184253E1
1.394807708E0,-1.430311203E-1,1.209452820E1,-3.498016357E1,3.701229409E1
1.404770708E0,-1.795434952E-1,1.207980347E1,-3.474951172E1,3.678970579E1
1.414732708E0,-7.884311676E-2,1.204522705E1,-3.486755371E1,3.688956509E1
1.424694708E0,-2.357320786E-1,1.206713867E1,-3.475225830E1,3.678846099E1
1.434656708E0,-1.365995407E-1,1.206623840E1,-3.462994385E1,3.667213901E1
1.444619708E0,-1.124458313E-1,1.205812073E1,-3.466723633E1,3.670460726E1
1.454581708E0,-1.048946381E-1,1.200296021E1,-3.471026611E1,3.672716475E1
1.464543708E0,-1.558732986E-1,1.208520508E1,-3.485345459E1,3.688956187E1
1.474506708E0,-3.219165802E-1,1.197686768E1,-3.459606934E1,3.661197896E1
1.484468708E0,-1.131744385E-1,1.206727600E1,-3.463757324E1,3.667960521E1
1.494430708E0,-1.030931473E-1,1.204156494E1,-3.455364990E1,3.659186571E1
1.504393708E0,-7.273769379E-2,1.208753967E1,-3.507086182E1,3.709554225E1
1.514355708E0,-6.202411652E-2,1.205628967E1,-3.492797852E1,3.695025914E1
1.524317708E0,-1.123657227E-1,1.197286987E1,-3.467236328E1,3.668153506E1
1.534280708E0,-1.346178055E-1,1.202581787E1,-3.487713623E1,3.689245247E1
1.544242708E0,-2.164459229E-1,1.200221252E1,-3.458013916E1,3.660445299E1
1.554204708E0,-3.765592575E-1,1.209915161E1,-3.473822021E1,3.678688911E1
1.564167708E0,-2.169218063E-1,1.200488281E1,-3.469879150E1,3.671743997E1
1.574129708E0,-1.825885773E-1,1.207139587E1,-3.483398438E1,3.686676558E1
1.584091708E0,-1.825885773E-1,1.207139587E1,-3.483398438E1,3.686676558E1
1.594054708E0,-2.946748734E-1,1.205345154E1,-3.460150146E1,3.664200364E1
1.604016708E0,-2.343111038E-1,1.210899353E1,-3.481921387E1,3.686543476E1
1.613978708E0,-1.615037918E-1,1.210414124E1,-3.492822266E1,3.696643148E1
1.623941708E0,-1.656045914E-1,1.226853943E1,-3.472540283E1,3.682931015E1
1.633903708E0,-2.322893143E-1,1.229281616E1,-3.473144531E1,3.684346049E1
1.643865708E0,-1.872577667E-1,1.215495300E1,-3.460412598E1,3.667728838E1
1.653828708E0,-2.991018295E-1,1.207273865E1,-3.498437500E1,3.701009287E1
1.663790708E0,-1.259746552E-1,1.207363892E1,-3.485113525E1,3.688346858E1
1.673752708E0,-1.593208313E-2,1.211959839E1,-3.481823730E1,3.686725604E1
1.683714708E0,-1.593208313E-2,1.211959839E1,-3.481823730E1,3.686725604E1
1.693677708E0,-3.876304626E-2,1.219180298E1,-3.471423340E1,3.679292816E1
1.703639708E0,1.277542114E-2,1.221026611E1,-3.485974121E1,3.693632790E1
1.713601708E0,-1.266574860E-1,1.216090393E1,-3.469415283E1,3.676394793E1
1.723564708E0,-7.516002655E-2,1.222398376E1,-3.489251709E1,3.697187008E1
1.733526708E0,-7.516002655E-2,1.222398376E1,-3.489251709E1,3.697187008E1
1.743488708E0,-5.491352081E-2,1.216056824E1,-3.462774658E1,3.670099820E1
1.753451708E0,3.047943115E-3,1.220733643E1,-3.454406738E1,3.663757174E1
1.763413708E0,-1.327333450E-1,1.212474060E1,-3.457916260E1,3.664349108E1
1.773375708E0,1.970672607E-2,1.207972717E1,-3.450006104E1,3.655371949E1
1.783338708E0,-1.621046066E-1,1.203889465E1,-3.475756836E1,3.678382553E1
1.793300708E0,-2.173318863E-1,1.191465759E1,-3.459686279E1,3.659165498E1
1.803262708E0,-1.088476181E-1,1.208267212E1,-3.472296143E1,3.676529428E1
1.813225708E0,-1.254024506E-1,1.212545776E1,-3.458782959E1,3.665188136E1
1.823187708E0,-2.284450531E-1,1.215382385E1,-3.476000977E1,3.682425695E1
1.833149708E0,-2.451639175E-1,1.210943604E1,-3.493853760E1,3.697837146E1
1.843112708E0,-2.422266006E-1,1.222732544E1,-3.492181396E1,3.700134122E1
1.853074708E0,-2.210874557E-1,1.224424744E1,-3.507592773E1,3.715227020E1
1.863036708E0,-2.927484512E-1,1.223466492E1,-3.470593262E1,3.680046856E1
1.872999708E0,-6.592941284E-2,1.219798279E1,-3.466949463E1,3.675280926E1
1.882961708E0,-1.148357391E-1,1.214404297E1,-3.479187012E1,3.685057928E1
1.892923708E0,-8.008098602E-2,1.216062927E1,-3.479913330E1,3.686281318E1
1.902885708E0,-8.008098602E-2,1.216062927E1,-3.479913330E1,3.686281318E1
1.912848708E0,-2.056713104E-1,1.207623291E1,-3.473742676E1,3.677725547E1
1.922810708E0,-1.857833862E-1,1.209973145E1,-3.478033447E1,3.682539453E1
1.932772708E0,-1.590337753E-1,1.217120361E1,-3.461798096E1,3.669561411E1
1.942735708E0,-1.340093613E-1,1.220159912E1,-3.458508301E1,3.667458175E1
1.952697708E0,-9.499073029E-2,1.229618835E1,-3.460540771E1,3.672518910E1
1.962659708E0,-2.274217606E-1,1.212097168E1,-3.429815674E1,3.637764741E1
1.972622708E0,-1.810626984E-1,1.217819214E1,-3.474194336E1,3.681499390E1
1.982584708E0,-2.059535980E-1,1.207487488E1,-3.473413086E1,3.677369803E1
1.992546708E0,-7.331371307E-2,1.220492554E1,-3.502868652E1,3.709412975E1
2.002509708E0,-1.052284241E-1,1.216304016E1,-3.488549805E1,3.694521069E1
2.012471708E0,-1.012887955E-1,1.218692017E1,-3.448101807E1,3.657146277E1
2.022433708E0,-1.189327240E-1,1.222525024E1,-3.468499756E1,3.677662225E1
2.032396708E0,-6.261730194E-2,1.210096741E1,-3.481768799E1,3.686066643E1
2.042358708E0,-4.104423523E-2,1.227632141E1,-3.480145264E1,3.690326351E1
2.052320708E0,-2.034187317E-2,1.226058960E1,-3.478692627E1,3.688431524E1
2.062283708E0,-1.892366409E-1,1.219979858E1,-3.470031738E1,3.678291618E1
2.072245708E0,-2.714061737E-2,1.214857483E1,-3.470635986E1,3.677118467E1
2.082207708E0,-1.264724731E-1,1.211305237E1,-3.456323242E1,3.662456919E1
2.092170708E0,-2.766637802E-1,1.220770264E1,-3.464306641E1,3.673209219E1
2.102132708E0,-2.477245331E-1,1.219041443E1,-3.482891846E1,3.690150583E1
2.112094708E0,-1.519098282E-1,1.220327759E1,-3.489007568E1,3.696296040E1
2.122057708E0,-3.613748550E-1,1.225910950E1,-3.457867432E1,3.668925013E1
2.132019708E0,-1.670627594E-1,1.223132324E1,-3.467907715E1,3.677324530E1
2.141981708E0,-1.106901169E-1,1.210591125E1,-3.483349609E1,3.687733436E1
2.151943708E0,-1.453399658E-1,1.204103088E1,-3.489202881E1,3.691153238E1
2.161906708E0,-2.901449203E-1,1.216430664E1,-3.479205322E1,3.685839806E1
2.171868708E0,-9.841060638E-2,1.218115234E1,-3.494458008E1,3.700694305E1
2.181830708E0,-2.702999115E-2,1.216195679E1,-3.487115479E1,3.693117057E1
2.191793708E0,-1.884546280E-1,1.227665710E1,-3.506286621E1,3.715045641E1
2.201755708E0,-1.668720245E-1,1.218482971E1,-3.489385986E1,3.696051106E1
2.211717708E0,-1.873311996E-1,1.215420532E1,-3.501098633E1,3.706115168E1
2.221680708E0,-1.461172104E-1,1.209687805E1,-3.496807861E1,3.700165308E1
2.231642708E0,-2.381763458E-1,1.220845032E1,-3.467694092E1,3.676402071E1
2.241604708E0,-1.412229538E-1,1.227888489E1,-3.477117920E1,3.687581675E1
2.251567708E0,-2.175607681E-1,1.217610168E1,-3.479919434E1,3.686853281E1
2.261529708E0,-1.278676987E-1,1.226591492E1,-3.479833984E1,3.689706594E1
2.271491708E0,-8.240699768E-2,1.220928955E1,-3.464440918E1,3.673293658E1
2.281454708E0,-1.188659668E-2,1.212046814E1,-3.468444824E1,3.674121445E1
2.291416708E0,-9.858512878E-2,1.223684692E1,-3.475158691E1,3.684322101E1
2.301378708E0,-9.661483765E-2,1.221109009E1,-3.445532227E1,3.655529083E1
2.311341708E0,-2.232742310E-2,1.221258545E1,-3.461651611E1,3.670764130E1
2.321303708E0,1.275539398E-2,1.221624756E1,-3.465692139E1,3.674695997E1
2.331265708E0,6.377315521E-2,1.210653687E1,-3.469934082E1,3.675073544E1
2.341228708E0,1.090984344E-1,1.213926697E1,-3.492785645E1,3.697741014E1
2.351190708E0,-1.921081543E-2,1.219763184E1,-3.475799561E1,3.683613511E1
2.361152708E0,1.901435852E-2,1.222625732E1,-3.478582764E1,3.687187999E1
2.371114708E0,-5.878829956E-2,1.217689514E1,-3.477520752E1,3.684555997E1
2.381077708E0,-1.071405411E-1,1.213462830E1,-3.484246826E1,3.689523381E1
2.391039833E0,-8.126640320E-2,1.215316772E1,-3.468286133E1,3.675060489E1
2.401001833E0,-1.376409531E-1,1.224385071E1,-3.463690186E1,3.673752571E1
2.410964833E0,-8.691215515E-2,1.218565369E1,-3.486651611E1,3.693469447E1
2.420926833E0,-2.336816788E-1,1.217170715E1,-3.478833008E1,3.685692570E1
2.430888833E0,-9.143161774E-2,1.215942383E1,-3.480163574E1,3.686480432E1
2.440851833E0,-1.478147507E-1,1.218429565E1,-3.472546387E1,3.680131452E1
2.450813833E0,-2.103710175E-2,1.218927002E1,-3.457629395E1,3.666195370E1
2.460775833E0,-5.822277069E-2,1.208680725E1,-3.492388916E1,3.695635715E1
2.470738833E0,-1.617784500E-1,1.216770935E1,-3.486334229E1,3.692603361E1
2.480700833E0,-9.975337982E-2,1.228376770E1,-3.481048584E1,3.691437151E1
2.490662833E0,-1.064538956E-1,1.228509521E1,-3.467541504E1,3.678748843E1
2.500625833E0,-6.615924835E-2,1.228297424E1,-3.464630127E1,3.675924407E1
2.510587833E0,-1.994152069E-1,1.222254944E1,-3.482458496E1,3.690775256E1
2.520549833E0,-1.892127991E-1,1.219731140E1,-3.459497070E1,3.668272352E1
2.530512833E0,-1.770410538E-1,1.215855408E1,-3.484680176E1,3.690747043E1
2.540474833E0,-1.742429733E-1,1.210748291E1,-3.483996582E1,3.688420694E1
2.550436833E0,-1.893625259E-1,1.225032043E1,-3.493444824E1,3.702056027E1
2.560399833E0,-2.037734985E-1,1.229806519E1,-3.514227295E1,3.723255671E1
2.570361833E0,-1.305685043E-1,1.223622131E1,-3.457855225E1,3.667994596E1
2.580323833E0,-1.274280548E-1,1.213943481E1,-3.493927002E1,3.698830498E1
2.590285833E0,-7.887554169E-2,1.217716980E1,-3.488348389E1,3.694789756E1
2.600248833E0,4.786968231E-2,1.211666870E1,-3.468493652E1,3.674045146E1
2.610210833E0,-3.849124908E-2,1.217918396E1,-3.458642578E1,3.666817219E1
2.620172833E0,-1.010608673E-2,1.212025452E1,-3.459381104E1,3.665559212E1
2.630135833E0,-1.719570160E-1,1.219709778E1,-3.468139648E1,3.676408608E1
2.640097833E0,-1.983509064E-1,1.210728455E1,-3.468652344E1,3.673936023E1
2.650059833E0,-2.358818054E-1,1.205076599E1,-3.481793213E1,3.684514892E1
2.660022833E0,-7.579326630E-2,1.215782166E1,-3.470153809E1,3.676975819E1
2.669984833E0,-1.383495331E-2,1.217135620E1,-3.454766846E1,3.662899806E1
2.679946833E0,-1.699399948E-1,1.211633301E1,-3.456079102E1,3.662352633E1
2.689909833E0,-6.228733063E-2,1.219389343E1,-3.450823975E1,3.659936512E1
2.699871833E0,-1.314640045E-1,1.210220337E1,-3.482843018E1,3.687140027E1
2.709833833E0,-4.943847656E-3,1.214118958E1,-3.470922852E1,3.677144344E1
2.719796833E0,-1.225776672E-1,1.214102173E1,-3.487805176E1,3.693098873E1
2.729758833E0,-6.593418121E-2,1.229078674E1,-3.477703857E1,3.688509452E1
2.739720833E0,3.939247131E-2,1.213999939E1,-3.464916992E1,3.671438564E1
2.749683833E0,3.107547760E-2,1.226963806E1,-3.454034424E1,3.665488186E1
2.759645833E0,-5.976581573E-2,1.223956299E1,-3.459503174E1,3.669641256E1
2.769607833E0,1.631736755E-3,1.214872742E1,-3.468719482E1,3.675313681E1
2.779569833E0,9.860992432E-4,1.210066223E1,-3.485791016E1,3.689850848E1
2.789532833E0,-1.285200119E-1,1.199539185E1,-3.484899902E1,3.685591779E1
2.799494833E0,-9.173965454E-2,1.206210327E1,-3.489141846E1,3.691766289E1
2.809456833E0,-2.664756775E-2,1.214163208E1,-3.487042236E1,3.692379037E1
2.819419833E0,1.186561584E-1,1.206211853E1,-3.480041504E1,3.683174812E1
2.829381833E0,1.692485809E-2,1.206225586E1,-3.471746826E1,3.675324347E1
2.839343833E0,-2.073822021E-1,1.210577393E1,-3.453997803E1,3.660058540E1
2.849306833E0,-2.272415161E-1,1.215826416E1,-3.479144287E1,3.685538662E1
2.859268833E0,-1.023960114E-2,1.211585999E1,-3.466491699E1,3.672125594E1
2.869230833E0,-1.649665833E-2,1.199922180E1,-3.454241943E1,3.656720301E1
2.879193833E0,-8.456993103E-2,1.213526917E1,-3.483154297E1,3.688506873E1
2.889155833E0,-1.482200623E-1,1.205691528E1,-3.457604980E1,3.661822491E1
2.899117833E0,2.366828918E-2,1.205958557E1,-3.488708496E1,3.691263823E1
2.909080833E0,5.053901672E-2,1.190991211E1,-3.453918457E1,3.653496724E1
2.919042833E0,1.439189911E-2,1.211483765E1,-3.450024414E1,3.656550757E1
2.929004833E0,3.909015656E-2,1.198518372E1,-3.482214355E1,3.682699877E1
2.938967833E0,1.197366714E-1,1.205023193E1,-3.458776855E1,3.662698677E1
2.948929833E0,7.059097290E-3,1.208908081E1,-3.469018555E1,3.673628857E1
2.958891833E0,1.334457397E-1,1.220678711E1,-3.476171875E1,3.684291723E1
2.968854833E0,2.292366028E-1,1.212365723E1,-3.464239502E1,3.670328523E1
2.978816833E0,1.193838120E-1,1.206303406E1,-3.443756104E1,3.648940467E1
2.988778833E0,1.193838120E-1,1.206303406E1,-3.443756104E1,3.648940467E1
2.998740833E0,1.311225891E-1,1.217472839E1,-3.456872559E1,3.665021137E1
3.008703833E0,1.311225891E-1,1.217472839E1,-3.456872559E1,3.665021137E1
3.018665833E0,8.357810974E-2,1.216531372E1,-3.460852051E1,3.668448630E1
3.028627833E0,7.647514343E-2,1.202134705E1,-3.435504150E1,3.639763055E1
3.038590833E0,1.077079773E-2,1.198474121E1,-3.441815186E1,3.644507258E1
3.048552833E0,-5.747699738E-2,1.192263794E1,-3.431268311E1,3.632509905E1
3.058514833E0,4.918956757E-2,1.213958740E1,-3.454089355E1,3.661209267E1
3.068477833E0,8.579158783E-2,1.203713989E1,-3.440979004E1,3.645454358E1
3.078439833E0,1.529941559E-1,1.194015503E1,-3.442700195E1,3.643911597E1
3.088401833E0,4.040813446E-2,1.208494568E1,-3.469256592E1,3.673719743E1
3.098364833E0,2.540493011E-2,1.209169006E1,-3.445330811E1,3.651355986E1
3.108326833E0,4.978942871E-2,1.209722900E1,-3.455084229E1,3.660746005E1
3.118288833E0,-1.027107239E-3,1.196113586E1,-3.455596924E1,3.656752360E1
3.128251833E0,1.560325623E-1,1.198278809E1,-3.420367432E1,3.624228046E1
3.138213833E0,1.093444824E-1,1.203065491E1,-3.448114014E1,3.651982528E1
3.148175833E0,-5.680084229E-3,1.213682556E1,-3.444165039E1,3.651752796E1
3.158137833E0,6.141662598E-3,1.215118408E1,-3.460931396E1,3.668045700E1
3.168100833E0,9.250068665E-2,1.215744019E1,-3.467626953E1,3.674582394E1
3.178062833E0,6.021785736E-2,1.213827515E1,-3.473004150E1,3.679017712E1
3.188024833E0,-1.660995483E-1,1.219259644E1,-3.474365234E1,3.682130328E1
3.197987833E0,-9.107112885E-2,1.213328552E1,-3.474389648E1,3.680167461E1
3.207949833E0,-9.574127197E-2,1.217251587E1,-3.448162842E1,3.656722586E1
