"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.462378628E0,-2.062500119E-1,1.537500095E1,-3.562500000E1,3.880172443E1
1.482377379E0,-1.875000075E-2,1.530000019E1,-3.510000229E1,3.828969206E1
1.502372332E0,-2.250000089E-1,1.511250019E1,-3.551250076E1,3.859502555E1
1.522373904E0,-2.812500000E-1,1.543125057E1,-3.530625153E1,3.853224614E1
1.542371826E0,-2.250000089E-1,1.520625019E1,-3.540000153E1,3.852844116E1
1.562377592E0,-0.000000000E0,1.539375019E1,-3.530625153E1,3.851621661E1
1.582378224E0,-6.750000119E-1,1.537500095E1,-3.549375153E1,3.868659557E1
1.602374501E0,-6.000000238E-1,1.522500038E1,-3.549375153E1,3.862598910E1
1.622379793E0,-4.875000119E-1,1.531875038E1,-3.560625076E1,3.876476316E1
1.642379898E0,-4.125000238E-1,1.516875076E1,-3.540000153E1,3.851520822E1
1.662375629E0,-1.875000000E-1,1.552500057E1,-3.553125000E1,3.877538556E1
1.682379517E0,-2.812500000E-1,1.543125057E1,-3.583125305E1,3.901386024E1
1.702378545E0,-3.000000119E-1,1.526250076E1,-3.551250076E1,3.865451642E1
1.722373790E0,-5.625000000E-1,1.546875095E1,-3.571875000E1,3.892849553E1
1.742377125E0,-3.000000119E-1,1.535625076E1,-3.551250076E1,3.869162891E1
1.762375937E0,-1.875000000E-1,1.545000076E1,-3.583125305E1,3.902071725E1
1.782370930E0,-5.062500238E-1,1.524375057E1,-3.560625076E1,3.873542712E1
1.802374182E0,-3.000000119E-1,1.526250076E1,-3.551250076E1,3.865451642E1
1.822372855E0,-0.000000000E0,1.539375019E1,-3.562500000E1,3.880860948E1
1.842379040E0,-7.500000298E-2,1.554375076E1,-3.562500000E1,3.886842469E1
1.862379790E0,-7.125000358E-1,1.511250019E1,-3.538125229E1,3.848023300E1
1.882376157E0,-4.875000119E-1,1.539375019E1,-3.551250076E1,3.870843463E1
1.902380592E0,-2.062500119E-1,1.535625076E1,-3.530625153E1,3.850179701E1
1.922380047E0,-3.937500119E-1,1.533750057E1,-3.560625076E1,3.877111110E1
1.942375300E0,-3.750000000E-1,1.543125057E1,-3.571875000E1,3.891135080E1
1.962378739E0,-9.375000000E-2,1.537500095E1,-3.541875076E1,3.861201042E1
1.982377565E0,-1.687500030E-1,1.560000038E1,-3.530625153E1,3.859948038E1
2.002372420E0,-2.062500119E-1,1.528125095E1,-3.551250076E1,3.866130986E1
2.022375732E0,-6.937500238E-1,1.530000019E1,-3.560625076E1,3.876050036E1
2.042372553E0,-3.750000000E-1,1.548750019E1,-3.541875076E1,3.865864965E1
2.062377942E0,-5.062500238E-1,1.522500038E1,-3.528750229E1,3.843520188E1
2.082378247E0,-3.937500119E-1,1.533750057E1,-3.540000153E1,3.858178419E1
2.102374424E0,-2.250000089E-1,1.511250019E1,-3.562500000E1,3.869856473E1
2.122378924E0,-6.000000238E-1,1.520625019E1,-3.519375229E1,3.834305993E1
2.142378917E0,-7.500000298E-2,1.554375076E1,-3.562500000E1,3.886842469E1
2.162374959E0,-3.000000119E-1,1.535625076E1,-3.562500000E1,3.879491027E1
2.182379005E0,-3.937500119E-1,1.533750057E1,-3.592500305E1,3.906404750E1
2.202378208E0,-3.937500119E-1,1.533750057E1,-3.583125305E1,3.897784830E1
2.222373576E0,-5.062500238E-1,1.524375057E1,-3.571875000E1,3.883886355E1
2.242377007E0,-2.250000089E-1,1.518750095E1,-3.530625153E1,3.843490870E1
2.262375760E0,-2.250000089E-1,1.518750095E1,-3.519375229E1,3.833159285E1
2.282370743E0,-1.875000075E-2,1.524375057E1,-3.573750305E1,3.885281724E1
2.302374047E0,-3.937500119E-1,1.524375057E1,-3.540000153E1,3.854461154E1
2.322372915E0,-5.250000358E-1,1.500000095E1,-3.613125229E1,3.912471144E1
2.342379201E0,-2.812500000E-1,1.543125057E1,-3.530625153E1,3.853224614E1
2.362379893E0,-1.875000075E-2,1.530000019E1,-3.541875076E1,3.858209770E1
2.382376322E0,-5.062500238E-1,1.516875076E1,-3.581250000E1,3.889578955E1
2.402380597E0,-3.750000000E-1,1.541250038E1,-3.562500000E1,3.881786210E1
2.422379822E0,-4.125000238E-1,1.518750095E1,-3.592500305E1,3.900559172E1
