"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.483748449E0,3.000000119E-1,1.081875038E1,-3.562500000E1,3.723272734E1
1.503751677E0,9.375000000E-2,1.078125000E1,-3.562500000E1,3.722075719E1
1.523750318E0,-3.750000149E-2,1.115625000E1,-3.498750305E1,3.672313562E1
1.543743418E0,1.500000060E-1,1.117500019E1,-3.489375305E1,3.663982985E1
1.563746214E0,0.000000000E0,1.076250076E1,-3.551250076E1,3.710753472E1
1.583744326E0,9.375000000E-2,1.078125000E1,-3.562500000E1,3.722075719E1
1.603750552E0,-5.625000224E-2,1.108125019E1,-3.540000153E1,3.709389947E1
1.623750896E0,5.625000224E-2,1.126875019E1,-3.573750305E1,3.747208320E1
1.643748470E0,3.375000060E-1,1.115625000E1,-3.562500000E1,3.733251191E1
1.663753703E0,2.062500119E-1,1.080000019E1,-3.562500000E1,3.722664594E1
1.683753728E0,1.500000060E-1,1.119375038E1,-3.553125000E1,3.725308409E1
1.703749523E0,1.875000075E-2,1.093125057E1,-3.519375229E1,3.685231052E1
1.723753241E0,2.437500060E-1,1.121250057E1,-3.573750305E1,3.745595690E1
1.743752337E0,-2.812500000E-1,1.072500038E1,-3.517500305E1,3.677479537E1
1.763747318E0,1.500000060E-1,1.110000038E1,-3.521250153E1,3.692089885E1
1.783750760E0,1.312500089E-1,1.102500057E1,-3.510000229E1,3.679100467E1
1.803749493E0,-3.750000149E-2,1.115625000E1,-3.541875076E1,3.713423253E1
1.823755565E0,7.500000298E-2,1.125000000E1,-3.530625153E1,3.705535753E1
1.843756508E0,2.062500119E-1,1.080000019E1,-3.530625153E1,3.692172721E1
1.863752737E0,1.125000045E-1,1.087500000E1,-3.592500305E1,3.753510524E1
1.883756924E0,1.500000060E-1,1.111875057E1,-3.562500000E1,3.732009833E1
1.903756160E0,2.250000089E-1,1.095000076E1,-3.521250153E1,3.687646140E1
1.923751378E0,1.312500089E-1,1.095000076E1,-3.571875000E1,3.735972223E1
1.943755021E0,2.062500119E-1,1.087500000E1,-3.541875076E1,3.705126273E1
1.963753584E0,1.500000060E-1,1.119375038E1,-3.541875076E1,3.714579994E1
1.983748441E0,2.437500060E-1,1.113750076E1,-3.583125305E1,3.752308666E1
2.003751688E0,1.687500030E-1,1.126875019E1,-3.541875076E1,3.716855005E1
2.023750420E0,-1.875000000E-1,1.074375057E1,-3.549375153E1,3.708462930E1
2.043745408E0,5.625000224E-2,1.117500019E1,-3.530625153E1,3.703262332E1
2.063747200E0,3.750000149E-2,1.100625038E1,-3.498750305E1,3.667784513E1
2.083745140E0,-5.625000224E-2,1.108125019E1,-3.510000229E1,3.680770885E1
2.103750883E0,3.187500238E-1,1.096875000E1,-3.541875076E1,3.707968425E1
2.123751719E0,-7.500000298E-2,1.093125057E1,-3.583125305E1,3.746166787E1
2.143747639E0,4.125000238E-1,1.100625038E1,-3.573750305E1,3.739621409E1
2.163752919E0,1.312500089E-1,1.113750076E1,-3.615000153E1,3.782702420E1
2.183753002E0,5.625000224E-2,1.110000038E1,-3.530625153E1,3.701006038E1
2.203748973E0,3.750000149E-2,1.102500057E1,-3.571875000E1,3.738156157E1
2.223753064E0,1.125000045E-1,1.087500000E1,-3.571875000E1,3.733774743E1
2.243752269E0,-5.625000224E-2,1.108125019E1,-3.530625153E1,3.700444117E1
2.263747479E0,2.062500119E-1,1.089375019E1,-3.571875000E1,3.734361303E1
2.283750909E0,1.312500089E-1,1.104375076E1,-3.571875000E1,3.738730746E1
2.303749449E0,1.500000060E-1,1.111875057E1,-3.551250076E1,3.721272396E1
2.323755609E0,1.312500089E-1,1.095000076E1,-3.583125305E1,3.746729826E1
2.343756295E0,1.875000000E-1,1.072500038E1,-3.562500000E1,3.720485740E1
2.363752810E0,1.500000060E-1,1.110000038E1,-3.521250153E1,3.692089885E1
2.383757129E0,-5.625000224E-2,1.108125019E1,-3.530625153E1,3.700444117E1
2.403756238E0,2.062500119E-1,1.080000019E1,-3.541875076E1,3.702931877E1
2.423751448E0,-1.875000000E-1,1.074375057E1,-3.571875000E1,3.730003263E1
2.443754955E0,3.187500238E-1,1.106250000E1,-3.553125000E1,3.721491951E1
2.463753533E0,2.250000089E-1,1.096875000E1,-3.562500000E1,3.727606104E1
2.483748323E0,2.250000089E-1,1.096875000E1,-3.541875076E1,3.707899685E1
2.503751689E0,-1.500000060E-1,1.098750019E1,-3.560625076E1,3.726328963E1
2.523750196E0,-7.500000298E-2,1.091250038E1,-3.498750305E1,3.664987939E1
2.543745283E0,1.312500089E-1,1.095000076E1,-3.519375229E1,3.685810553E1
2.563748595E0,1.875000075E-2,1.083750057E1,-3.508125305E1,3.671710890E1
2.583746237E0,1.125000045E-1,1.087500000E1,-3.562500000E1,3.724807252E1
2.603751939E0,3.000000119E-1,1.081875038E1,-3.551250076E1,3.712510027E1
2.623752157E0,3.187500238E-1,1.106250000E1,-3.530625153E1,3.700016087E1
2.643748481E0,2.250000089E-1,1.096875000E1,-3.551250076E1,3.716855946E1
2.663753541E0,3.750000149E-2,1.102500057E1,-3.562500000E1,3.729199202E1
2.683753589E0,1.500000060E-1,1.111875057E1,-3.573750305E1,3.742750644E1
2.703749343E0,1.687500030E-1,1.134375000E1,-3.510000229E1,3.688792894E1
2.723753370E0,1.312500089E-1,1.104375076E1,-3.562500000E1,3.729775171E1
2.743752349E0,5.625000224E-2,1.126875019E1,-3.562500000E1,3.736480322E1
2.763747505E0,-2.812500000E-1,1.072500038E1,-3.549375153E1,3.707979412E1
2.783750780E0,1.125000045E-1,1.087500000E1,-3.551250076E1,3.714048992E1
2.803749448E0,1.312500089E-1,1.095000076E1,-3.541875076E1,3.707300431E1
2.823755714E0,-1.312500089E-1,1.115625000E1,-3.551250076E1,3.722387475E1
2.843756373E0,-3.562500179E-1,1.087500000E1,-3.540000153E1,3.703447917E1
2.863752706E0,2.437500060E-1,1.113750076E1,-3.583125305E1,3.752308666E1
2.883756928E0,1.312500089E-1,1.095000076E1,-3.519375229E1,3.685810553E1
2.903756160E0,1.875000075E-2,1.093125057E1,-3.519375229E1,3.685231052E1
2.923751476E0,3.187500238E-1,1.106250000E1,-3.573750305E1,3.741189159E1
2.943754967E0,3.187500238E-1,1.096875000E1,-3.530625153E1,3.697223925E1
2.963753452E0,1.875000075E-2,1.093125057E1,-3.562500000E1,3.726436925E1
2.983748368E0,1.875000075E-2,1.085625076E1,-3.540000153E1,3.702726887E1
3.003751736E0,1.312500089E-1,1.104375076E1,-3.583125305E1,3.749480434E1
3.023750356E0,1.312500089E-1,1.104375076E1,-3.571875000E1,3.738730746E1
3.043745278E0,3.187500238E-1,1.096875000E1,-3.530625153E1,3.697223925E1
3.063748672E0,2.437500060E-1,1.111875057E1,-3.521250153E1,3.692704012E1
3.083747389E0,1.312500089E-1,1.095000076E1,-3.562500000E1,3.727010019E1
3.103752574E0,1.312500089E-1,1.102500057E1,-3.541875076E1,3.709522570E1
3.123752566E0,-5.625000224E-2,1.108125019E1,-3.562500000E1,3.730868391E1
3.143748645E0,-3.750000149E-2,1.117500019E1,-3.562500000E1,3.733661287E1
3.163752709E0,3.750000149E-2,1.102500057E1,-3.583125305E1,3.748907493E1
3.183752705E0,2.062500119E-1,1.080000019E1,-3.541875076E1,3.702931877E1
3.203748659E0,5.625000224E-2,1.117500019E1,-3.530625153E1,3.703262332E1
3.223752736E0,3.375000060E-1,1.113750076E1,-3.541875076E1,3.713011898E1
3.243751981E0,1.125000045E-1,1.087500000E1,-3.551250076E1,3.714048992E1
3.263747046E0,1.500000060E-1,1.119375038E1,-3.573750305E1,3.744985543E1
3.283750455E0,-5.625000224E-2,1.108125019E1,-3.530625153E1,3.700444117E1
3.303749219E0,1.875000075E-2,1.085625076E1,-3.560625076E1,3.722450303E1
3.323755558E0,4.125000238E-1,1.091250038E1,-3.541875076E1,3.706400850E1
3.343756576E0,-1.312500089E-1,1.113750076E1,-3.530625153E1,3.702151465E1
3.363753019E0,3.750000149E-2,1.110000038E1,-3.551250076E1,3.720684245E1
3.383757280E0,2.437500060E-1,1.113750076E1,-3.583125305E1,3.752308666E1
3.403756460E0,-5.625000224E-2,1.100625038E1,-3.571875000E1,3.737605936E1
3.423751719E0,5.625000224E-2,1.117500019E1,-3.530625153E1,3.703262332E1
3.443755032E0,2.062500119E-1,1.080000019E1,-3.551250076E1,3.711900125E1
3.463753575E0,3.187500238E-1,1.108125019E1,-3.605625153E1,3.772199599E1
3.483748412E0,-3.000000119E-1,1.065000057E1,-3.560625076E1,3.716608139E1
3.503751698E0,3.750000149E-2,1.100625038E1,-3.498750305E1,3.667784513E1
3.523750425E0,-2.625000179E-1,1.087500000E1,-3.519375229E1,3.683659500E1
