"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.496591491E0,-9.450000000E1,1.426875000E2,-2.001187592E2,2.633201292E2
1.516595030E0,-9.435000610E1,1.439062500E2,-1.993125153E2,2.633180799E2
1.536593611E0,-9.466875458E1,1.429312592E2,-2.009625092E2,2.641542126E2
1.556588481E0,-9.405000305E1,1.439437561E2,-1.989000092E2,2.629190401E2
1.576591942E0,-9.480000305E1,1.434000092E2,-2.009625092E2,2.644551631E2
1.596590743E0,-9.405000305E1,1.439437561E2,-1.986937561E2,2.627630429E2
1.616585433E0,-9.513750458E1,1.429500122E2,-2.015812531E2,2.648034221E2
1.636588790E0,-9.405000305E1,1.438500061E2,-1.981687622E2,2.623148597E2
1.656587474E0,-9.519375610E1,1.434562531E2,-2.023125153E2,2.656537249E2
1.676582435E0,-9.397500610E1,1.437000122E2,-1.981687622E2,2.622057467E2
1.696585882E0,-9.506250000E1,1.436437531E2,-2.027437592E2,2.660365362E2
1.716584900E0,-9.397500610E1,1.437750092E2,-1.980750122E2,2.621760201E2
1.736591143E0,-9.545625305E1,1.436812592E2,-2.029500122E2,2.663548534E2
1.756591911E0,-9.397500610E1,1.436812592E2,-1.975312653E2,2.617139789E2
1.776588627E0,-9.579375458E1,1.440375061E2,-2.033625031E2,2.669823107E2
1.796593047E0,-9.388125610E1,1.436812592E2,-1.972312622E2,2.614539448E2
1.816592367E0,-9.570000458E1,1.439625092E2,-2.033625031E2,2.669082287E2
1.836587524E0,-9.401250458E1,1.434000092E2,-1.968000031E2,2.610213686E2
1.856591173E0,-9.558750153E1,1.442625122E2,-2.042062531E2,2.676730032E2
1.876589897E0,-9.418125153E1,1.435312500E2,-1.963687592E2,2.608294796E2
1.896583388E0,-9.592500305E1,1.446000061E2,-2.042062531E2,2.679756738E2
1.916586910E0,-9.376875305E1,1.437562561E2,-1.962937622E2,2.607483103E2
1.936585934E0,-9.592500305E1,1.446000061E2,-2.041125031E2,2.679042401E2
1.956592174E0,-9.401250458E1,1.434187622E2,-1.971187592E2,2.612720758E2
1.976593183E0,-9.618750763E1,1.448250122E2,-2.047312622E2,2.685911587E2
1.996589746E0,-9.391875458E1,1.432500000E2,-1.968000031E2,2.609052245E2
2.016594205E0,-9.579375458E1,1.448812561E2,-2.048437653E2,2.685665466E2
2.036593406E0,-9.371250153E1,1.434562531E2,-1.970250092E2,2.611141201E2
2.056588816E0,-9.596250153E1,1.451250000E2,-2.054812622E2,2.692445291E2
2.076592251E0,-9.395625305E1,1.431000061E2,-1.971000061E2,2.610628308E2
2.096591001E0,-9.596250153E1,1.450312500E2,-2.051625061E2,2.689507745E2
2.116585804E0,-9.375000000E1,1.430250092E2,-1.959562531E2,2.600847340E2
2.136589077E0,-9.596250153E1,1.451062622E2,-2.046375122E2,2.685910282E2
2.156587665E0,-9.369375610E1,1.427812500E2,-1.959562531E2,2.599304876E2
2.176593979E0,-9.605625153E1,1.451625061E2,-2.046375122E2,2.686549237E2
2.196594801E0,-9.243750000E1,1.411312561E2,-1.933312531E2,2.565924712E2
2.216591082E0,-9.633750153E1,1.450312500E2,-2.043187561E2,2.684420455E2
2.236595338E0,-9.288750458E1,1.413187561E2,-1.936312561E2,2.570839215E2
