"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
6.450508750E-1,1.057155762E3,-2.048419678E3,-1.799162109E3,2.924138467E3
6.550148751E-1,1.056830078E3,-2.049104248E3,-1.801866455E3,2.926164854E3
6.649788750E-1,1.056979370E3,-2.048527588E3,-1.800384033E3,2.924902278E3
6.749418750E-1,1.056691528E3,-2.049233643E3,-1.802865601E3,2.926820781E3
6.849058750E-1,1.056892578E3,-2.049024658E3,-1.802554321E3,2.926555322E3
6.948698750E-1,1.056588135E3,-2.049604736E3,-1.804566406E3,2.928091183E3
7.048338750E-1,1.056776489E3,-2.049735840E3,-1.805787720E3,2.929003730E3
7.147968750E-1,1.056549805E3,-2.050474854E3,-1.808180054E3,2.930914486E3
7.247608750E-1,-1.551452515E3,-1.708504639E3,-6.151867065E2,2.388398562E3
7.347248750E-1,-1.551562134E3,-1.709060425E3,-6.170173950E2,2.389339460E3
7.446888750E-1,-1.551701538E3,-1.709948853E3,-6.211434937E2,2.391134037E3
7.546518750E-1,-1.551776733E3,-1.710238770E3,-6.218342896E2,2.391569686E3
7.646158750E-1,-1.552038208E3,-1.711431763E3,-6.271878052E2,2.393989520E3
7.745798751E-1,-1.552238159E3,-1.711655273E3,-6.273252563E2,2.394314945E3
7.845438750E-1,-1.552537598E3,-1.713110840E3,-6.337965698E2,2.397252559E3
7.945068750E-1,-1.552640259E3,-1.713274292E3,-6.327702026E2,2.397164722E3
8.044708750E-1,-1.552937866E3,-1.715191162E3,-6.414491577E2,2.401031812E3
8.144348750E-1,-1.553052002E3,-1.715054077E3,-6.395939331E2,2.400512738E3
8.243988750E-1,-1.553077759E3,-1.717196289E3,-6.490347290E2,2.404591379E3
8.343618750E-1,-1.553107056E3,-1.716829224E3,-6.466301880E2,2.403700212E3
8.443258750E-1,-1.553358276E3,-1.719215698E3,-6.571845093E2,2.408426048E3
8.542898750E-1,-1.553478149E3,-1.718775146E3,-6.541207886E2,2.407354642E3
8.642538750E-1,-1.553874023E3,-1.721394531E3,-6.652850952E2,2.412535569E3
