"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
1.495909379E0,-8.512500000E1,1.428187561E2,-2.112375031E2,2.688210286E2
1.515910311E0,-8.964375305E1,1.497000122E2,-2.250937653E2,2.848039664E2
1.535906475E0,-8.538750458E1,1.431375122E2,-2.122875061E2,2.698987932E2
1.555910768E0,-8.923125458E1,1.491562500E2,-2.241562653E2,2.836473779E2
1.575909996E0,-8.570625305E1,1.436062622E2,-2.134312592E2,2.711479720E2
1.595905205E0,-8.911875153E1,1.493437500E2,-2.243625031E2,2.838736344E2
1.615908580E0,-8.606250000E1,1.439812622E2,-2.146875153E2,2.724483198E2
1.635907376E0,-8.902500153E1,1.491750031E2,-2.233125153E2,2.829259831E2
1.655902348E0,-8.641875458E1,1.441875000E2,-2.155312653E2,2.733348909E2
1.675905619E0,-8.865000153E1,1.491375122E2,-2.231250153E2,2.826403948E2
1.695904423E0,-8.656875610E1,1.446937561E2,-2.172187653E2,2.749807713E2
1.715899350E0,-8.805000305E1,1.492875061E2,-2.218875122E2,2.815557327E2
1.735902786E0,-8.681250000E1,1.450687561E2,-2.172187653E2,2.752550565E2
1.755901539E0,-8.850000000E1,1.487062531E2,-2.210250092E2,2.807095552E2
1.775905963E0,-8.718750000E1,1.452187500E2,-2.189812622E2,2.768446111E2
1.795907241E0,-8.773125458E1,1.486500092E2,-2.202000122E2,2.797885695E2
1.815904100E0,-8.754375458E1,1.455000000E2,-2.196187592E2,2.776086424E2
1.835908659E0,-8.791875458E1,1.485750122E2,-2.191500092E2,2.789820212E2
1.855908194E0,-8.818125153E1,1.458375092E2,-2.209687653E2,2.790550258E2
1.875903728E0,-8.756250000E1,1.483875122E2,-2.185312653E2,2.782839540E2
1.895907463E0,-8.805000305E1,1.460250092E2,-2.207625122E2,2.789483700E2
1.915906341E0,-8.746875000E1,1.483687592E2,-2.174812622E2,2.774205658E2
1.935901106E0,-8.835000610E1,1.467375031E2,-2.218125153E2,2.802470523E2
1.955904426E0,-8.720625305E1,1.480687561E2,-2.167500153E2,2.766041508E2
1.975903047E0,-8.863125610E1,1.468687592E2,-2.224500122E2,2.809091310E2
1.995909056E0,-8.707500458E1,1.483500061E2,-2.175000153E2,2.773013476E2
2.015909750E0,-8.896875000E1,1.473937531E2,-2.260125122E2,2.841161956E2
2.035906250E0,-8.731875610E1,1.479937592E2,-2.174812622E2,2.771729015E2
2.055910513E0,-8.951250458E1,1.477500000E2,-2.273625031E2,2.855455459E2
2.075909799E0,-8.664375305E1,1.479937592E2,-2.165437622E2,2.762254399E2
2.095905069E0,-8.971875000E1,1.477312622E2,-2.280937653E2,2.861830632E2
2.115908519E0,-8.645625305E1,1.479000092E2,-2.156062622E2,2.753818380E2
2.135907346E0,-8.996250153E1,1.481062622E2,-2.284125061E2,2.867071494E2
2.155902307E0,-8.653125000E1,1.472062531E2,-2.143312531E2,2.740350784E2
2.175905585E0,-8.994375610E1,1.483875122E2,-2.295750122E2,2.877732080E2
2.195904205E0,-8.634375000E1,1.470750122E2,-2.144437561E2,2.739934797E2
2.215899213E0,-9.013125610E1,1.483500061E2,-2.293500061E2,2.876330873E2
2.235902686E0,-8.163750458E1,1.417687531E2,-2.000062561E2,2.583903326E2
2.255901256E0,-9.063750458E1,1.489312592E2,-2.295562592E2,2.882564020E2
2.275907701E0,-8.156250000E1,1.415250092E2,-1.997812653E2,2.580587599E2
2.295907147E0,-9.063750458E1,1.489500122E2,-2.304937592E2,2.890132114E2
2.315904193E0,-8.141250610E1,1.410937500E2,-1.982062531E2,2.565563509E2
2.335908847E0,-9.065625000E1,1.486500092E2,-2.280750122E2,2.869383071E2
2.355908401E0,-8.154375458E1,1.408125000E2,-1.970437622E2,2.555460590E2
2.375904061E0,-9.045000458E1,1.488375092E2,-2.282062531E2,2.870747314E2
2.395907704E0,-8.156250000E1,1.406625061E2,-1.975687561E2,2.558745697E2
2.415906363E0,-9.039375305E1,1.492687531E2,-2.288437653E2,2.877875260E2
2.435901307E0,-8.160000610E1,1.411687622E2,-1.985250092E2,2.569034053E2
2.455904581E0,-9.084375000E1,1.496437531E2,-2.298750153E2,2.889435280E2
2.475903260E0,-8.180625153E1,1.410750122E2,-1.997625122E2,2.578749370E2
2.495909381E0,-9.076875305E1,1.494937592E2,-2.299875031E2,2.889318295E2
2.515910284E0,-8.182500458E1,1.410187531E2,-2.006062622E2,2.585043375E2
2.535906548E0,-9.065625000E1,1.495125122E2,-2.301000061E2,2.889957781E2
2.555911015E0,-8.220000458E1,1.411312561E2,-2.010187531E2,2.590046549E2
2.575910137E0,-9.091875458E1,1.497187500E2,-2.301937561E2,2.892595537E2
